,dcc_mean_pairwise_corr
2022-11-29,0.32498558193145544
2022-11-30,0.3093716898828897
2022-12-01,0.31371584452995505
2022-12-02,0.33125553741237024
2022-12-05,0.29332139540905644
2022-12-06,0.3038993657539402
2022-12-07,0.30630727008554004
2022-12-08,0.308177092816554
2022-12-09,0.3083748082398737
2022-12-12,0.31459643323488
2022-12-13,0.3046451569187728
2022-12-14,0.3029801373336209
2022-12-15,0.30577857238322476
2022-12-16,0.292223677840179
2022-12-19,0.2946514232211159
2022-12-20,0.2941086315743263
2022-12-21,0.29154623196578555
2022-12-22,0.2941972587272483
2022-12-23,0.29214739989525906
2022-12-28,0.3122466904012682
2022-12-29,0.3270858661929047
2022-12-30,0.2942949857998786
2023-01-03,0.3300973930258554
2023-01-04,0.34108596610283826
2023-01-05,0.33688488955963314
2023-01-06,0.3349212032216782
2023-01-09,0.3321370410477158
2023-01-10,0.3306260040725764
2023-01-11,0.3308926593348495
2023-01-12,0.33705917257730694
2023-01-13,0.37178224917063235
2023-01-16,0.370761118153628
2023-01-17,0.4029465858091478
2023-01-18,0.398467102455062
2023-01-19,0.3967250649213131
2023-01-20,0.39139942927044097
2023-01-23,0.38244084026379443
2023-01-24,0.37614870311511667
2023-01-25,0.36510369147159505
2023-01-26,0.35094942909221205
2023-01-27,0.34142180588612725
2023-01-30,0.3292727748353796
2023-01-31,0.3304554823447162
2023-02-01,0.3302375463794198
2023-02-02,0.3240010964422762
2023-02-03,0.3055183456214744
2023-02-06,0.3097851935451249
2023-02-07,0.3119355101277577
2023-02-08,0.3115943972893079
2023-02-09,0.31019136287798615
2023-02-10,0.3119927034190047
2023-02-13,0.3147925784420783
2023-02-14,0.2975763053681231
2023-02-15,0.2931934539022928
2023-02-16,0.29815571870615204
2023-02-17,0.3001141171710742
2023-02-20,0.3034585720775576
2023-02-21,0.3049342241189521
2023-02-22,0.31001831652870404
2023-02-23,0.31101240676824365
2023-02-24,0.31898680908284877
2023-02-27,0.3299757880288693
2023-02-28,0.33275265683735944
2023-03-01,0.3826932808840823
2023-03-02,0.38187956108668814
2023-03-03,0.380893291222333
